,country,points,variety,winery,winery_search
92906,US,89,Rosé,Chronic Cellars,Chronic Cellars winery US
92907,New Zealand,89,Pinot Noir,Clos Henri,Clos Henri winery New Zealand
92911,US,89,Rosé,Quady North,Quady North winery US
92916,New Zealand,89,Sauvignon Blanc,Seifried,Seifried winery New Zealand
92920,New Zealand,89,Sauvignon Blanc,Lawson's Dry Hills,Lawson's Dry Hills winery New Zealand
92921,New Zealand,89,Pinot Noir,Lime Rock,Lime Rock winery New Zealand
92928,US,89,Cabernet Sauvignon,Fidelitas,Fidelitas winery US
92929,US,89,Merlot,Fidelitas,Fidelitas winery US
92930,US,89,Cabernet Sauvignon,Fidelitas,Fidelitas winery US
92931,US,89,Cabernet Sauvignon,Hazlitt 1852 Vineyards,Hazlitt 1852 Vineyards winery US
92933,New Zealand,89,Sauvignon Blanc,Tiki Sound,Tiki Sound winery New Zealand
92941,Chile,87,Merlot,Lapostolle,Lapostolle winery Chile
92943,US,87,Cabernet Sauvignon,Mannina Cellars,Mannina Cellars winery US
92944,US,87,Chardonnay,Matanzas Creek,Matanzas Creek winery US
92945,US,87,Cabernet Sauvignon,Mi Sueño,Mi Sueño winery US
92949,US,87,Riesling,North by Northwest,North by Northwest winery US
92950,US,87,Cabernet Sauvignon,O•S Winery,O•S Winery winery US
92953,France,87,Pinot Noir,Rieflé,Rieflé winery France
92957,US,87,Sauvignon Blanc,Snoqualmie,Snoqualmie winery US
92961,US,87,Riesling,Treleaven,Treleaven winery US
92967,US,93,Cabernet Sauvignon,McGrail,McGrail winery US
92968,US,93,Chardonnay,Merry Edwards,Merry Edwards winery US
92971,US,93,Chardonnay,Sbragia,Sbragia winery US
92972,US,93,Chardonnay,Talley,Talley winery US
92976,Italy,93,Merlot,Le Macchiole,Le Macchiole winery Italy
92977,US,93,Pinot Noir,Baileyana,Baileyana winery US
92978,France,93,Riesling,Biecher & Schaal,Biecher & Schaal winery France
92979,US,93,Pinot Noir,Black Kite,Black Kite winery US
92980,France,93,Riesling,Boeckel,Boeckel winery France
92981,US,93,Chardonnay,Wrath,Wrath winery US
92991,France,93,Riesling,Domaine Gresser,Domaine Gresser winery France
92995,France,93,Riesling,Domaine Saint-Rémy,Domaine Saint-Rémy winery France
92997,US,89,Syrah,Telaya,Telaya winery US
93001,US,89,Riesling,Wolff,Wolff winery US
93002,US,89,Cabernet Sauvignon,Wood Family Vineyards,Wood Family Vineyards winery US
93003,New Zealand,89,Sauvignon Blanc,Yealands,Yealands winery New Zealand
93005,US,89,Rosé,Dr. Konstantin Frank,Dr. Konstantin Frank winery US
93012,US,89,Pinot Noir,R2,R2 winery US
93013,US,89,Riesling,Ryan Patrick,Ryan Patrick winery US
93014,Chile,89,Sauvignon Blanc,San Pedro,San Pedro winery Chile
93016,US,89,Rosé,Terra d'Oro,Terra d'Oro winery US
93018,US,89,Pinot Noir,Wrights Station,Wrights Station winery US
93019,Chile,89,Sauvignon Blanc,Lomas del Valle,Lomas del Valle winery Chile
93021,US,89,Chardonnay,Lucienne,Lucienne winery US
93025,US,89,Chardonnay,One Woman,One Woman winery US
93029,US,87,Cabernet Sauvignon,Cave B,Cave B winery US
93030,New Zealand,87,Syrah,Unison Vineyard,Unison Vineyard winery New Zealand
93032,New Zealand,87,Riesling,Villa Maria,Villa Maria winery New Zealand
93034,US,87,Sauvignon Blanc,Windsor Sonoma,Windsor Sonoma winery US
93035,US,87,Chardonnay,El Roy,El Roy winery US
93036,US,87,Chardonnay,Francis Ford Coppola,Francis Ford Coppola winery US
93038,US,87,Chardonnay,Handley,Handley winery US
93039,US,87,Chardonnay,Handley,Handley winery US
93040,Croatia,87,Rosé,Korta Katarina,Korta Katarina winery Croatia
93041,Chile,87,Chardonnay,Los Molles,Los Molles winery Chile
93043,US,87,Cabernet Sauvignon,Magnificent Wine Company,Magnificent Wine Company winery US
93047,US,87,Pinot Noir,Three Saints,Three Saints winery US
93050,US,92,Chardonnay,Darioush,Darioush winery US
93051,US,92,Chardonnay,Krutz,Krutz winery US
93054,New Zealand,91,Pinot Noir,Pegasus Bay,Pegasus Bay winery New Zealand
93057,US,91,Cabernet Sauvignon,Concannon,Concannon winery US
93070,US,92,Syrah,Amavi,Amavi winery US
93071,US,92,Pinot Noir,Anaba,Anaba winery US
93073,US,92,Syrah,Babcock,Babcock winery US
93074,France,92,Rosé,Château Coussin,Château Coussin winery France
93075,US,92,Chardonnay,Domaine Serene,Domaine Serene winery US
93078,France,92,Rosé,Figuière,Figuière winery France
93080,US,92,Chardonnay,Foley,Foley winery US
93083,US,92,Chardonnay,Joseph Swan Vineyards,Joseph Swan Vineyards winery US
93086,New Zealand,92,Chardonnay,Kumeu River,Kumeu River winery New Zealand
93090,US,92,Chardonnay,Ponzi,Ponzi winery US
93093,US,92,Pinot Noir,Sinor-LaVallee,Sinor-LaVallee winery US
93095,US,92,Pinot Noir,Trisaetum,Trisaetum winery US
93096,New Zealand,92,Pinot Noir,Decibel,Decibel winery New Zealand
93098,France,91,Pinot Noir,Domaine Matthias et Emile Roblin,Domaine Matthias et Emile Roblin winery France
93099,US,91,Chardonnay,Foxen,Foxen winery US
93100,Germany,91,Riesling,Fritz Haag,Fritz Haag winery Germany
93101,US,91,Pinot Noir,Gros Ventre,Gros Ventre winery US
93105,US,90,Cabernet Sauvignon,Hartwell,Hartwell winery US
93108,US,90,Cabernet Sauvignon,Ilsley,Ilsley winery US
93109,US,90,Pinot Noir,Iron Horse,Iron Horse winery US
93116,Germany,90,Riesling,Kees Kieren,Kees Kieren winery Germany
93119,Germany,90,Riesling,St. Urbans-Hof,St. Urbans-Hof winery Germany
93120,US,90,Cabernet Sauvignon,Terlato,Terlato winery US
93121,Portugal,90,Merlot,Wines & Winemakers,Wines & Winemakers winery Portugal
93125,US,90,Pinot Noir,Amalie Robert,Amalie Robert winery US
93127,US,90,Chardonnay,Argyle,Argyle winery US
93128,France,86,Merlot,Café du Midi,Café du Midi winery France
93130,US,86,Cabernet Sauvignon,Canoe Ridge,Canoe Ridge winery US
93131,France,86,Rosé,Château de Saint Martin,Château de Saint Martin winery France
93132,France,86,Rosé,Château Saint-Pierre,Château Saint-Pierre winery France
93133,France,86,Rosé,Château Sainte Marguerite,Château Sainte Marguerite winery France
93135,US,86,Syrah,Clos LaChance,Clos LaChance winery US
93137,France,86,Chardonnay,Maison de la Villette,Maison de la Villette winery France
93139,France,86,Rosé,Mirabeau,Mirabeau winery France
93140,US,86,Chardonnay,Red Car,Red Car winery US
93142,US,86,Chardonnay,Rodney Strong,Rodney Strong winery US
93143,France,86,Rosé,Sacha Lichine,Sacha Lichine winery France
93145,US,86,Rosé,Tedeschi Family,Tedeschi Family winery US
93147,US,86,Sauvignon Blanc,Kendall-Jackson,Kendall-Jackson winery US
93149,France,86,Rosé,Le Val,Le Val winery France
93150,France,86,Rosé,Domaines Pierre Chavin,Domaines Pierre Chavin winery France
93151,US,86,Chardonnay,Esser,Esser winery US
93153,US,86,Chardonnay,FlyWine,FlyWine winery US
93165,US,89,Syrah,Kendall-Jackson,Kendall-Jackson winery US
93172,US,89,Pinot Noir,Testarossa,Testarossa winery US
93173,US,89,Pinot Noir,Thomas George,Thomas George winery US
93179,Germany,89,Riesling,Dr. Heidemanns-Bergweiler,Dr. Heidemanns-Bergweiler winery Germany
93180,Germany,89,Riesling,Dr. Nägler,Dr. Nägler winery Germany
93181,US,89,Pinot Noir,Fairsing,Fairsing winery US
93200,Australia,86,Chardonnay,Gumdale,Gumdale winery Australia
93201,Germany,86,Riesling,Heinrich Vollmer,Heinrich Vollmer winery Germany
93202,Austria,86,Riesling,Wohlmuth,Wohlmuth winery Austria
93204,Germany,86,Riesling,Dr. Pauly Bergweiler,Dr. Pauly Bergweiler winery Germany
93214,Austria,86,Riesling,Pleil,Pleil winery Austria
93220,US,90,Pinot Noir,Rodney Strong,Rodney Strong winery US
93222,US,90,Cabernet Sauvignon,Sebastiani,Sebastiani winery US
93223,US,90,Cabernet Sauvignon,Summers,Summers winery US
93224,US,90,Syrah,Terre Rouge,Terre Rouge winery US
93226,US,90,Syrah,Avennia,Avennia winery US
93228,France,90,Pinot Noir,Bailly-Lapierre,Bailly-Lapierre winery France
93229,France,90,Chardonnay,Bernard Defaix,Bernard Defaix winery France
93230,France,90,Pinot Noir,Chanson Père et Fils,Chanson Père et Fils winery France
93231,France,90,Pinot Noir,Chanson Père et Fils,Chanson Père et Fils winery France
93232,France,90,Chardonnay,Château de Maligny,Château de Maligny winery France
93233,France,90,Pinot Noir,Château Philippe-le-Hardi,Château Philippe-le-Hardi winery France
93235,France,90,Chardonnay,Damien et Romain Bouchard,Damien et Romain Bouchard winery France
93236,France,90,Pinot Noir,Domaine Faiveley,Domaine Faiveley winery France
93237,France,90,Pinot Noir,Domaines Devillard,Domaines Devillard winery France
93241,US,90,Cabernet Sauvignon,Alpha Omega,Alpha Omega winery US
93245,US,92,Cabernet Sauvignon,Reverie,Reverie winery US
93246,US,92,Cabernet Sauvignon,Stuhlmuller Vineyards,Stuhlmuller Vineyards winery US
93247,US,92,Pinot Noir,Joseph Swan Vineyards,Joseph Swan Vineyards winery US
93248,France,92,Chardonnay,La Chablisienne,La Chablisienne winery France
93249,France,92,Chardonnay,Maison Champy,Maison Champy winery France
93250,US,92,Syrah,Waters,Waters winery US
93251,US,92,Chardonnay,Brosseau,Brosseau winery US
93252,France,92,Chardonnay,Domaine Christian Moreau Père et Fils,Domaine Christian Moreau Père et Fils winery France
93253,US,92,Pinot Noir,P2,P2 winery US
93256,US,92,Pinot Noir,Joseph Swan Vineyards,Joseph Swan Vineyards winery US
93257,US,92,Chardonnay,Martin Ray,Martin Ray winery US
93258,Chile,92,Cabernet Sauvignon,Viu Manent,Viu Manent winery Chile
93259,US,92,Pinot Noir,Balletto,Balletto winery US
93261,US,92,Cabernet Sauvignon,Lookout Ridge,Lookout Ridge winery US
93262,France,92,Chardonnay,Olivier Leflaive,Olivier Leflaive winery France
93263,Italy,92,Syrah,Principi di Spadafora,Principi di Spadafora winery Italy
93264,US,92,Cabernet Sauvignon,Silverado,Silverado winery US
93265,France,92,Chardonnay,William Fèvre,William Fèvre winery France
93267,US,85,Cabernet Sauvignon,Peloton,Peloton winery US
93268,France,84,Chardonnay,Le Petit Panier,Le Petit Panier winery France
93269,Argentina,84,Chardonnay,Mascota,Mascota winery Argentina
93270,US,84,Pinot Noir,Seven Daughters,Seven Daughters winery US
93272,US,84,Cabernet Sauvignon,Carmenet,Carmenet winery US
93273,US,84,Chardonnay,Carmenet,Carmenet winery US
93276,France,84,Sauvignon Blanc,Langlois-Chateau,Langlois-Chateau winery France
93283,Argentina,84,Sauvignon Blanc,O. Fournier,O. Fournier winery Argentina
93284,France,84,Sauvignon Blanc,Paul Buisse,Paul Buisse winery France
93288,US,84,Cabernet Sauvignon,Truett Hurst,Truett Hurst winery US
93291,France,84,Pinot Noir,Frédéric Lornet,Frédéric Lornet winery France
93292,US,84,Chardonnay,Garnet,Garnet winery US
93293,US,84,Syrah,Page Springs,Page Springs winery US
93297,France,86,Sauvignon Blanc,Joseph Mellot,Joseph Mellot winery France
93298,France,86,Sauvignon Blanc,Domaine des Caves du Prieuré,Domaine des Caves du Prieuré winery France
93299,France,86,Chardonnay,Domaine des Tilleuls,Domaine des Tilleuls winery France
93302,US,86,Cabernet Sauvignon,Robert Mondavi,Robert Mondavi winery US
93304,US,86,Pinot Noir,Tantara,Tantara winery US
93306,Portugal,86,Rosé,Quinta da Lagoalva de Cima,Quinta da Lagoalva de Cima winery Portugal
93307,US,86,Merlot,Roth,Roth winery US
93308,US,86,Pinot Noir,RouteStock,RouteStock winery US
93310,US,86,Syrah,Sanguis,Sanguis winery US
93318,Argentina,86,Cabernet Sauvignon,Mil Piedras,Mil Piedras winery Argentina
93319,US,86,Syrah,Novy,Novy winery US
93320,US,87,Cabernet Sauvignon,Bougetz,Bougetz winery US
93324,US,87,Riesling,Keuka Spring,Keuka Spring winery US
93326,France,87,Pinot Noir,Jaffelin,Jaffelin winery France
93327,France,87,Pinot Noir,Jaffelin,Jaffelin winery France
93328,France,87,Chardonnay,Jaffelin,Jaffelin winery France
93330,US,87,Sauvignon Blanc,Kenefick Ranch,Kenefick Ranch winery US
93333,US,87,Riesling,Mercer,Mercer winery US
93334,US,87,Sauvignon Blanc,Mercer,Mercer winery US
93336,France,87,Pinot Noir,Moillard,Moillard winery France
93337,US,87,Chardonnay,Peconic Bay Winery,Peconic Bay Winery winery US
93338,US,87,Pinot Noir,Philo Ridge,Philo Ridge winery US
93341,France,87,Pinot Noir,Domaine Champy,Domaine Champy winery France
93342,France,87,Chardonnay,Domaine Ferret,Domaine Ferret winery France
93354,France,87,Pinot Noir,Chavet Fils,Chavet Fils winery France
93355,US,87,Cabernet Sauvignon,City Winery Chicago,City Winery Chicago winery US
93357,US,87,Syrah,Darby,Darby winery US
93360,France,87,Rosé,Domaine Jean-Paul Balland,Domaine Jean-Paul Balland winery France
93362,US,87,Chardonnay,Hedges Family Estate,Hedges Family Estate winery US
93364,France,87,Sauvignon Blanc,Hubert Veneau,Hubert Veneau winery France
93366,US,87,Chardonnay,Knapp,Knapp winery US
93367,Italy,87,Merlot,Leuta,Leuta winery Italy
93369,US,87,Pinot Noir,Martin Ranch,Martin Ranch winery US
93370,US,87,Chardonnay,McManis,McManis winery US
93371,US,87,Chardonnay,Millbrook,Millbrook winery US
93372,US,87,Sauvignon Blanc,Firestone,Firestone winery US
93377,US,87,Cabernet Sauvignon,Boomtown,Boomtown winery US
93378,US,93,Chardonnay,Zotovich Cellars,Zotovich Cellars winery US
93379,US,92,Syrah,Dusted Valley,Dusted Valley winery US
93381,US,92,Rosé,Efeste,Efeste winery US
93382,US,92,Pinot Noir,Emeritus,Emeritus winery US
93383,US,92,Cabernet Sauvignon,Fidelitas,Fidelitas winery US
93386,US,92,Riesling,Hermann J. Wiemer,Hermann J. Wiemer winery US
93394,Austria,92,Sauvignon Blanc,Sattlerhof,Sattlerhof winery Austria
93395,US,92,Chardonnay,Sea Smoke,Sea Smoke winery US
93397,Austria,92,Riesling,Aigner,Aigner winery Austria
93403,US,92,Chardonnay,Darcie Kent Vineyards,Darcie Kent Vineyards winery US
93404,US,92,Merlot,Trefethen,Trefethen winery US
93405,Austria,92,Pinot Noir,Wieninger,Wieninger winery Austria
93406,US,92,Pinot Noir,Williams Selyem,Williams Selyem winery US
93407,US,90,Cabernet Sauvignon,Sawyer,Sawyer winery US
93414,US,90,Pinot Noir,Migration,Migration winery US
93415,US,90,Syrah,Monticello Vineyards,Monticello Vineyards winery US
93417,US,90,Sauvignon Blanc,Radog,Radog winery US
93418,Germany,90,Riesling,Bollig-Lehnert,Bollig-Lehnert winery Germany
93425,Spain,90,Syrah,Valtosca,Valtosca winery Spain
93427,Portugal,90,Syrah,Herdade do Esporão,Herdade do Esporão winery Portugal
93428,US,90,Pinot Noir,Bernardus,Bernardus winery US
93430,US,90,Chardonnay,Chalk Hill,Chalk Hill winery US
93437,US,90,Chardonnay,Marimar Estate,Marimar Estate winery US
93438,Chile,90,Chardonnay,Miguel Torres,Miguel Torres winery Chile
93439,Germany,90,Riesling,Peter Nicolay,Peter Nicolay winery Germany
93442,Australia,90,Chardonnay,Stella Bella,Stella Bella winery Australia
93443,Germany,90,Riesling,Ulrich Langguth,Ulrich Langguth winery Germany
93444,US,90,Merlot,L'Ecole No. 41,L'Ecole No. 41 winery US
93445,Austria,90,Riesling,Markus Huber,Markus Huber winery Austria
93448,US,90,Sauvignon Blanc,Saracina,Saracina winery US
93450,Australia,90,Cabernet Sauvignon,Angove,Angove winery Australia
93451,US,90,Chardonnay,Baileyana,Baileyana winery US
93453,US,90,Chardonnay,Campovida,Campovida winery US
93455,US,90,Riesling,Chateau Ste. Michelle,Chateau Ste. Michelle winery US
93457,Germany,90,Riesling,Dr. Pauly Bergweiler,Dr. Pauly Bergweiler winery Germany
93458,US,90,Merlot,Dumas Station,Dumas Station winery US
93464,US,87,Riesling,Knapp,Knapp winery US
93469,France,87,Chardonnay,Olivier Leflaive,Olivier Leflaive winery France
93475,US,87,Chardonnay,Storrs,Storrs winery US
93479,US,87,Pinot Noir,Testarossa,Testarossa winery US
93480,US,87,Sauvignon Blanc,Alta Maria,Alta Maria winery US
93489,US,87,Pinot Noir,Chanin,Chanin winery US
93490,US,88,Pinot Noir,Lost Canyon,Lost Canyon winery US
93492,Germany,88,Riesling,Von Buhl,Von Buhl winery Germany
93498,US,88,Pinot Noir,Atticus,Atticus winery US
93499,Italy,88,Merlot,Baracchi Riccardo,Baracchi Riccardo winery Italy
93504,Germany,88,Riesling,Schloss Wallhausen,Schloss Wallhausen winery Germany
93506,US,88,Pinot Noir,Testarossa,Testarossa winery US
93512,Italy,88,Merlot,Máté,Máté winery Italy
93518,US,88,Chardonnay,Dr. Konstantin Frank,Dr. Konstantin Frank winery US
93521,US,87,Cabernet Sauvignon,Sausal,Sausal winery US
93522,South Africa,87,Sauvignon Blanc,South Hill,South Hill winery South Africa
93524,South Africa,87,Sauvignon Blanc,Fleur Du Cap,Fleur Du Cap winery South Africa
93526,Austria,87,Pinot Noir,Juris,Juris winery Austria
93527,Chile,87,Cabernet Sauvignon,Tamaya,Tamaya winery Chile
93528,US,87,Syrah,Woodinville Wine Cellars,Woodinville Wine Cellars winery US
93529,South Africa,87,Chardonnay,MAN Vintners,MAN Vintners winery South Africa
93531,US,87,Chardonnay,Morgan,Morgan winery US
93535,US,87,Riesling,San Juan Vineyards,San Juan Vineyards winery US
93536,US,87,Pinot Noir,Sand Hill,Sand Hill winery US
93537,US,87,Merlot,Snoqualmie,Snoqualmie winery US
93538,US,87,Merlot,Snoqualmie,Snoqualmie winery US
93539,US,87,Chardonnay,Snoqualmie,Snoqualmie winery US
93540,Chile,87,Cabernet Sauvignon,Morandé,Morandé winery Chile
93541,US,87,Pinot Noir,Navarro,Navarro winery US
93543,US,87,Cabernet Sauvignon,Phifer Pavitt,Phifer Pavitt winery US
93544,South Africa,87,Sauvignon Blanc,Constantia Glen,Constantia Glen winery South Africa
93545,US,90,Sauvignon Blanc,Clendenen,Clendenen winery US
93554,US,90,Pinot Noir,Lumos,Lumos winery US
93555,US,90,Chardonnay,MacPhail,MacPhail winery US
93556,US,90,Cabernet Sauvignon,Malk,Malk winery US
93559,US,90,Cabernet Sauvignon,Pine & Brown,Pine & Brown winery US
93564,US,90,Syrah,Ramey,Ramey winery US
93565,US,90,Chardonnay,Riverbench,Riverbench winery US
93566,US,90,Cabernet Sauvignon,Rodney Strong,Rodney Strong winery US
93568,Germany,90,Riesling,Schloss Johannisberger,Schloss Johannisberger winery Germany
93569,US,90,Merlot,Shafer,Shafer winery US
93572,Italy,90,Chardonnay,Vie di Romans,Vie di Romans winery Italy
93574,Chile,90,Syrah,Viu Manent,Viu Manent winery Chile
93578,France,87,Rosé,Château les Valentines,Château les Valentines winery France
93579,France,87,Rosé,Château Malherbe,Château Malherbe winery France
93580,France,87,Rosé,Chevalier de Lafoux Sainte Anne,Chevalier de Lafoux Sainte Anne winery France
93583,France,87,Rosé,Domaine de la Sanglière,Domaine de la Sanglière winery France
93584,France,87,Rosé,Domaine des Mapliers,Domaine des Mapliers winery France
93589,US,87,Rosé,Troika,Troika winery US
93592,US,87,Pinot Noir,Vista Hills,Vista Hills winery US
93593,US,87,Pinot Noir,Vista Hills,Vista Hills winery US
93595,US,87,Riesling,Lamoreaux Landing,Lamoreaux Landing winery US
93597,US,87,Pinot Noir,Lundeen,Lundeen winery US
93598,US,87,Merlot,Millbrook,Millbrook winery US
93600,US,87,Chardonnay,Oberon,Oberon winery US
93602,France,87,Rosé,Domaine Sainte-Marie,Domaine Sainte-Marie winery France
93603,US,87,Chardonnay,Hazlitt 1852 Vineyards,Hazlitt 1852 Vineyards winery US
93604,US,87,Riesling,Heron Hill,Heron Hill winery US
93605,US,94,Chardonnay,Hartford Court,Hartford Court winery US
93606,US,94,Syrah,Heintz,Heintz winery US
93607,US,94,Cabernet Sauvignon,Pride Mountain,Pride Mountain winery US
93609,US,94,Merlot,Pride Mountain,Pride Mountain winery US
93610,US,94,Pinot Noir,Testarossa,Testarossa winery US
93614,Austria,94,Riesling,Tegernseerhof,Tegernseerhof winery Austria
93615,US,94,Syrah,Terre Rouge,Terre Rouge winery US
93616,US,94,Cabernet Sauvignon,Kendall-Jackson,Kendall-Jackson winery US
93618,France,94,Chardonnay,Pascal Doquet,Pascal Doquet winery France
93619,US,94,Pinot Noir,Hartford Court,Hartford Court winery US
93620,US,94,Pinot Noir,Cumbre of Vine Hill,Cumbre of Vine Hill winery US
93621,US,94,Pinot Noir,Testarossa,Testarossa winery US
93622,US,94,Pinot Noir,Hartford Court,Hartford Court winery US
93625,France,93,Chardonnay,Pascal Doquet,Pascal Doquet winery France
93626,US,93,Merlot,Pride Mountain,Pride Mountain winery US
93627,US,91,Cabernet Sauvignon,Summit Lake,Summit Lake winery US
93628,US,91,Syrah,Terre Rouge,Terre Rouge winery US
93629,US,91,Chardonnay,Chateau Ste. Michelle,Chateau Ste. Michelle winery US
93631,US,91,Rosé,Cornerstone,Cornerstone winery US
93633,US,91,Syrah,Dunham,Dunham winery US
93634,US,91,Pinot Noir,E16,E16 winery US
93636,US,91,Merlot,Fielding Hills,Fielding Hills winery US
93641,US,91,Pinot Noir,Waits-Mast,Waits-Mast winery US
93645,US,90,Sauvignon Blanc,Honig,Honig winery US
93646,US,90,Chardonnay,Longevity,Longevity winery US
93648,US,90,Cabernet Sauvignon,Louis M. Martini,Louis M. Martini winery US
93649,US,90,Pinot Noir,Lucie,Lucie winery US
93651,Italy,90,Syrah,Marchesi de' Frescobaldi,Marchesi de' Frescobaldi winery Italy
93652,US,90,Chardonnay,Medlock Ames,Medlock Ames winery US
93653,US,90,Syrah,Mercer,Mercer winery US
93656,US,90,Pinot Noir,Pfendler,Pfendler winery US
93658,US,84,Pinot Noir,Murphy-Goode,Murphy-Goode winery US
93659,Chile,84,Cabernet Sauvignon,Alto Roble,Alto Roble winery Chile
93662,France,84,Rosé,Bougrier,Bougrier winery France
93663,US,84,Syrah,Burbank Ranch,Burbank Ranch winery US
93667,Chile,84,Cabernet Sauvignon,De Martino,De Martino winery Chile
93672,US,84,Chardonnay,Francis Ford Coppola,Francis Ford Coppola winery US
93673,US,84,Rosé,Girl Go Lightly,Girl Go Lightly winery US
93676,US,84,Chardonnay,Hearst Ranch,Hearst Ranch winery US
93677,Argentina,84,Chardonnay,Andeluna,Andeluna winery Argentina
93678,Argentina,84,Cabernet Sauvignon,Kaiken,Kaiken winery Argentina
93682,US,84,Merlot,Desert Wind,Desert Wind winery US
93683,US,84,Chardonnay,Girl Go Lightly,Girl Go Lightly winery US
93685,Spain,80,Rosé,Bodegas Valdemar,Bodegas Valdemar winery Spain
93688,Brazil,80,Chardonnay,Miolo,Miolo winery Brazil
93690,US,80,Pinot Noir,Backhouse,Backhouse winery US
93692,France,96,Pinot Noir,Jacquesson et Fils,Jacquesson et Fils winery France
93693,France,95,Chardonnay,Jacquesson et Fils,Jacquesson et Fils winery France
93697,France,95,Chardonnay,Jacquesson et Fils,Jacquesson et Fils winery France
93703,France,94,Chardonnay,Billecart-Salmon,Billecart-Salmon winery France
93707,US,87,Syrah,Chatter Creek,Chatter Creek winery US
93710,France,87,Merlot,Domaine de Saint-Antoine,Domaine de Saint-Antoine winery France
93711,US,87,Merlot,Dumas Station,Dumas Station winery US
93712,South Africa,87,Chardonnay,Edgebaston,Edgebaston winery South Africa
93716,Germany,87,Riesling,Grafen Neipperg,Grafen Neipperg winery Germany
93717,Germany,87,Riesling,Grans-Fassian,Grans-Fassian winery Germany
93718,US,87,Pinot Noir,Greenwood Ridge,Greenwood Ridge winery US
93720,US,87,Pinot Noir,Alma Rosa,Alma Rosa winery US
93728,New Zealand,87,Sauvignon Blanc,Jackson Estate,Jackson Estate winery New Zealand
93729,South Africa,87,Rosé,Juno,Juno winery South Africa
93730,US,87,Pinot Noir,Kasuari,Kasuari winery US
93731,US,87,Pinot Noir,MacRostie,MacRostie winery US
93736,US,91,Pinot Noir,Goldeneye,Goldeneye winery US
93737,US,91,Pinot Noir,J Vineyards & Winery,J Vineyards & Winery winery US
93738,US,91,Pinot Noir,J Vineyards & Winery,J Vineyards & Winery winery US
93739,US,91,Merlot,Kendall-Jackson,Kendall-Jackson winery US
93740,US,91,Chardonnay,Kendall-Jackson,Kendall-Jackson winery US
93742,Austria,91,Riesling,Markus Huber,Markus Huber winery Austria
93746,US,91,Syrah,Bevela,Bevela winery US
93747,Austria,91,Riesling,Buchegger,Buchegger winery Austria
93748,US,91,Pinot Noir,Cambiata,Cambiata winery US
93749,Italy,91,Chardonnay,Castello della Sala,Castello della Sala winery Italy
93754,US,91,Cabernet Sauvignon,Concannon,Concannon winery US
93759,US,91,Syrah,Waters,Waters winery US
93764,Austria,91,Riesling,Stadlmann,Stadlmann winery Austria
93765,US,95,Chardonnay,Arrowood,Arrowood winery US
93766,US,95,Cabernet Sauvignon,Quilceda Creek,Quilceda Creek winery US
93768,Austria,95,Riesling,Josef Jamek,Josef Jamek winery Austria
93769,US,95,Cabernet Sauvignon,Von Strasser,Von Strasser winery US
93770,Austria,94,Riesling,Franz Hirtzberger,Franz Hirtzberger winery Austria
93771,Austria,94,Riesling,Prager,Prager winery Austria
93772,Austria,94,Riesling,Tegernseerhof,Tegernseerhof winery Austria
93775,US,94,Cabernet Sauvignon,Revana,Revana winery US
93776,US,94,Chardonnay,Tandem,Tandem winery US
93777,Austria,94,Riesling,Nikolaihof,Nikolaihof winery Austria
93780,Austria,94,Riesling,Rudi Pichler,Rudi Pichler winery Austria
93782,Austria,94,Riesling,Tegernseerhof,Tegernseerhof winery Austria
93783,Austria,94,Riesling,F X Pichler,F X Pichler winery Austria
93785,US,83,Pinot Noir,Edmeades,Edmeades winery US
93786,Chile,83,Merlot,Caliterra,Caliterra winery Chile
93787,Chile,83,Merlot,Undurraga,Undurraga winery Chile
93789,Chile,83,Merlot,Santa Ema,Santa Ema winery Chile
93790,Chile,83,Cabernet Sauvignon,Santa Rita,Santa Rita winery Chile
93792,Chile,83,Chardonnay,Château La Joya,Château La Joya winery Chile
93794,Chile,83,Chardonnay,Santa Ema,Santa Ema winery Chile
93797,US,83,Chardonnay,Hawk Crest,Hawk Crest winery US
93798,Chile,83,Cabernet Sauvignon,Concha y Toro,Concha y Toro winery Chile
93799,Chile,83,Cabernet Sauvignon,Cousiño-Macul,Cousiño-Macul winery Chile
93801,Chile,82,Cabernet Sauvignon,Cousiño-Macul,Cousiño-Macul winery Chile
93802,US,82,Merlot,Camelot,Camelot winery US
93803,Chile,82,Cabernet Sauvignon,Santa Rita,Santa Rita winery Chile
93804,Chile,82,Cabernet Sauvignon,Alfasi,Alfasi winery Chile
93805,US,82,Merlot,Callaway,Callaway winery US
93806,Chile,82,Cabernet Sauvignon,Undurraga,Undurraga winery Chile
93807,US,82,Pinot Noir,Lafond,Lafond winery US
93808,Chile,82,Rosé,Miguel Torres,Miguel Torres winery Chile
93809,Chile,82,Pinot Noir,Undurraga,Undurraga winery Chile
93810,US,82,Pinot Noir,Camelot,Camelot winery US
93811,Chile,82,Chardonnay,Undurraga,Undurraga winery Chile
93812,Chile,82,Riesling,Cousiño-Macul,Cousiño-Macul winery Chile
93813,Chile,82,Chardonnay,De Martino,De Martino winery Chile
93815,Chile,87,Chardonnay,Viña Litoral,Viña Litoral winery Chile
93816,Chile,87,Sauvignon Blanc,Viu Manent,Viu Manent winery Chile
93818,Italy,87,Rosé,Paolo Calì,Paolo Calì winery Italy
93820,Chile,87,Sauvignon Blanc,Santa Ema,Santa Ema winery Chile
93824,France,87,Pinot Noir,Domaine Jessiaume,Domaine Jessiaume winery France
